1 410244.7 g 1 0
2 -71498.3 g 1 1
3 21330.5 h 1 1
4 11670.4 g 2 0
5 -56835.8 g 2 1
6 48689.5 g 2 2
7 -42027.3 h 2 1
8 19353.2 h 2 2
9 4018.6 g 3 0
10 -37791.1 g 3 1
11 15926.3 g 3 2
12 -2710.5 g 3 3
13 -32957.3 h 3 1
14 42084.5 h 3 2
15 -27544.2 h 3 3
16 -34645.4 g 4 0
17 -8247.6 g 4 1
18 -2406.1 g 4 2
19 -11083.8 g 4 3
20 -17837.2 g 4 4
21 31994.5 h 4 1
22 27811.2 h 4 2
23 -926.1 h 4 3
24 367.1 h 4 4
25 -18023.6 g 5 0
26 4683.9 g 5 1
27 16160.0 g 5 2
28 -16402.0 g 5 3
29 -2600.7 g 5 4
30 -3660.7 g 5 5
31 45347.9 h 5 1
32 -749.0 h 5 2
33 6268.5 h 5 3
34 10859.6 h 5 4
35 9608.4 h 5 5
36 -20819.6 g 6 0
37 9992.9 g 6 1
38 11791.8 g 6 2
39 -12574.7 g 6 3
40 2669.7 g 6 4
41 1113.2 g 6 5
42 7584.9 g 6 6
43 14533.1 h 6 1
44 -10592.9 h 6 2
45 568.6 h 6 3
46 12871.7 h 6 4
47 -4147.8 h 6 5
48 3604.4 h 6 6
49 598.4 g 7 0
50 4665.9 g 7 1
51 -6495.7 g 7 2
52 -2516.5 g 7 3
53 -6448.5 g 7 4
54 1855.3 g 7 5
55 -2892.9 g 7 6
56 2968.0 g 7 7
57 -7626.3 h 7 1
58 -10948.4 h 7 2
59 2633.3 h 7 3
60 5394.2 h 7 4
61 -6050.8 h 7 5
62 -1526.0 h 7 6
63 -5684.2 h 7 7
64 10059.2 g 8 0
65 1934.4 g 8 1
66 -6702.9 g 8 2
67 153.7 g 8 3
68 -4124.2 g 8 4
69 -867.2 g 8 5
70 -3740.6 g 8 6
71 -732.4 g 8 7
72 -2433.2 g 8 8
73 -2409.7 h 8 1
74 -11614.6 h 8 2
75 9287.0 h 8 3
76 -911.9 h 8 4
77 2754.5 h 8 5
78 -2446.1 h 8 6
79 1207.3 h 8 7
80 -2887.3 h 8 8
81 9671.8 g 9 0
82 -3046.2 g 9 1
83 260.9 g 9 2
84 2071.3 g 9 3
85 3329.6 g 9 4
86 -2523.1 g 9 5
87 1787.1 g 9 6
88 -1148.2 g 9 7
89 1276.5 g 9 8
90 -1976.8 g 9 9
91 -8467.4 h 9 1
92 -1383.8 h 9 2
93 5697.7 h 9 3
94 -2056.3 h 9 4
95 3081.5 h 9 5
96 -721.2 h 9 6
97 1352.5 h 9 7
98 -210.1 h 9 8
99 1567.6 h 9 9
100 -2299.5 g 10 0
101 2009.7 g 10 1
102 2127.8 g 10 2
103 3498.3 g 10 3
104 2967.6 g 10 4
105 16.3 g 10 5
106 1806.5 g 10 6
107 -46.5 g 10 7
108 2897.8 g 10 8
109 574.5 g 10 9
110 1298.9 g 10 10
111 -4692.6 h 10 1
112 4445.8 h 10 2
113 -2378.6 h 10 3
114 -2204.3 h 10 4
115 164.1 h 10 5
116 -1361.6 h 10 6
117 -2031.5 h 10 7
118 1411.8 h 10 8
119 -714.3 h 10 9
120 1676.5 h 10 10
